Tournament,Date,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score,y,year,rank_diff,pts_diff,odd_diff,h2h_advantage,last_winner,surface_winrate_adv
Brisbane International,2020-01-12,Outdoor,Hard,The Final,3,Pliskova Ka.,Keys M.,Pliskova Ka.,2,13,5525,2767,1.8,2.0,6-4 4-6 7-5,1,2020,11,2758,0.19999999999999996,0,,0.0
Hobart International,2020-01-13,Outdoor,Hard,1st Round,3,Sharma A.,Davis L.,Davis L.,110,65,597,902,2.75,1.4,3-6 6-3 6-7,0,2020,-45,-305,-1.35,0,,0.0
Hobart International,2020-01-13,Outdoor,Hard,1st Round,3,Pliskova Kr.,Stojanovic N.,Pliskova Kr.,62,84,939,729,1.53,2.37,1-6 6-4 6-3,1,2020,22,210,0.8400000000000001,0,,0.0
Hobart International,2020-01-13,Outdoor,Hard,1st Round,3,Stosur S.,Kudermetova V.,Kudermetova V.,97,42,683,1328,2.75,1.4,2-6 2-6 ,0,2020,-55,-645,-1.35,0,,0.0
Hobart International,2020-01-13,Outdoor,Hard,1st Round,3,Kuzmova V.,Zhu L.,Kuzmova V.,61,71,949,850,2.37,1.53,5-7 6-2 7-6,1,2020,10,99,-0.8400000000000001,0,,0.0
Hobart International,2020-01-13,Outdoor,Hard,1st Round,3,Kuznetsova S.,Linette M.,Linette M.,53,43,1052,1292,1.83,1.83,6-7 6-7 ,0,2020,-10,-240,0.0,0,,0.0
Hobart International,2020-01-13,Outdoor,Hard,1st Round,3,Watson H.,Teichmann J.,Watson H.,101,67,657,883,1.53,2.37,1-6 6-4 6-4,1,2020,-34,-226,0.8400000000000001,0,,0.0
Hobart International,2020-01-13,Outdoor,Hard,1st Round,3,Kozlova K.,Sorribes Tormo S.,Kozlova K.,91,88,699,708,1.72,2.0,6-2 6-1 ,1,2020,-3,-9,0.28,0,,0.0
Adelaide International,2020-01-13,Outdoor,Hard,1st Round,3,Putintseva Y.,Tomljanovic A.,Tomljanovic A.,37,52,1415,1070,1.57,2.25,6-7 2-6 ,0,2020,15,345,0.6799999999999999,0,,0.0
Adelaide International,2020-01-13,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Kontaveit A.,Pavlyuchenkova A.,31,29,1531,1575,2.37,1.53,6-2 6-4 ,1,2020,-2,-44,-0.8400000000000001,0,,-0.5
Adelaide International,2020-01-13,Outdoor,Hard,1st Round,3,Vekic D.,Sevastova A.,Vekic D.,20,32,2080,1518,1.8,1.9,4-6 6-1 6-3,1,2020,12,562,0.09999999999999987,0,,0.0
Adelaide International,2020-01-13,Outdoor,Hard,1st Round,3,Kasatkina D.,Bencic B.,Bencic B.,68,7,880,4605,2.2,1.61,4-6 4-6 ,0,2020,-61,-3725,-0.5900000000000001,0,,0.5
Adelaide International,2020-01-13,Outdoor,Hard,1st Round,3,Collins D.,Sasnovich A.,Collins D.,27,99,1641,673,1.8,1.9,6-3 6-2 ,1,2020,72,968,0.09999999999999987,0,,0.16666666666666663
Adelaide International,2020-01-13,Outdoor,Hard,1st Round,3,Golubic V.,Kenin S.,Kenin S.,78,15,760,2565,3.5,1.28,0-6 4-6 ,0,2020,-63,-1805,-2.2199999999999998,0,,0.0
Adelaide International,2020-01-13,Outdoor,Hard,1st Round,3,Wang Q.,Kerber A.,Kerber A.,28,18,1593,2175,1.83,1.83,1-6 3-6 ,0,2020,-10,-582,0.0,0,,0.6666666666666666
Adelaide International,2020-01-13,Outdoor,Hard,1st Round,3,Yastremska D.,Babos T.,Yastremska D.,24,86,1820,720,1.33,3.25,7-5 6-3 ,1,2020,62,1100,1.92,0,,0.0
Adelaide International,2020-01-14,Outdoor,Hard,1st Round,3,Sakkari M.,Diatchenko V.,Sakkari M.,23,87,1820,719,1.36,3.0,7-5 6-2 ,1,2020,64,1101,1.64,0,,0.0
Hobart International,2020-01-14,Outdoor,Hard,1st Round,3,Bouzkova M.,Bellis C.,Bellis C.,59,838,979,20,1.61,2.2,6-3 6-7 3-6,0,2020,779,959,0.5900000000000001,0,,0.0
Hobart International,2020-01-14,Outdoor,Hard,1st Round,3,Cornet A.,Van Uytvanck A.,Cornet A.,60,47,965,1175,2.1,1.66,7-5 1-6 6-2,1,2020,-13,-210,-0.44000000000000017,0,,0.0
Hobart International,2020-01-14,Outdoor,Hard,1st Round,3,Flipkens K.,Zhang S.,Zhang S.,79,40,760,1355,2.66,1.53,6-4 3-6 2-6,0,2020,-39,-595,-1.1300000000000001,0,,-0.5
Hobart International,2020-01-14,Outdoor,Hard,1st Round,3,Muguruza G.,Wang Yaf.,Muguruza G.,34,51,1467,1105,1.44,2.62,6-1 7-5 ,1,2020,17,362,1.1800000000000002,0,,0.25
Hobart International,2020-01-14,Outdoor,Hard,1st Round,3,Mchale C.,Mertens E.,Mertens E.,81,17,738,2250,3.25,1.33,1-6 1-6 ,0,2020,-64,-1512,-1.92,0,,-0.16666666666666663
Hobart International,2020-01-14,Outdoor,Hard,1st Round,3,Rybakina E.,Zidansek T.,Rybakina E.,30,69,1551,880,1.4,2.75,6-1 6-4 ,1,2020,39,671,1.35,0,,0.30000000000000004
Hobart International,2020-01-14,Outdoor,Hard,1st Round,3,Garcia C.,Cabrera L.,Cabrera L.,46,129,1235,479,1.44,2.62,6-4 4-6 2-6,0,2020,83,756,1.1800000000000002,0,,0.0
Adelaide International,2020-01-14,Outdoor,Hard,2nd Round,3,Tomljanovic A.,Halep S.,Halep S.,52,4,1070,5461,2.75,1.4,4-6 5-7 ,0,2020,-48,-4391,-1.35,0,,0.0
Adelaide International,2020-01-14,Outdoor,Hard,2nd Round,3,Barty A.,Pavlyuchenkova A.,Barty A.,1,31,7547,1531,1.4,2.75,4-6 6-3 7-5,1,2020,30,6016,1.35,0,,-0.5
Adelaide International,2020-01-14,Outdoor,Hard,1st Round,3,Hsieh S.W.,Sabalenka A.,Sabalenka A.,36,12,1450,2940,2.62,1.44,7-5 1-6 5-7,0,2020,-24,-1490,-1.1800000000000002,0,,-0.5
Adelaide International,2020-01-14,Outdoor,Hard,1st Round,3,Goerges J.,Hon P.,Goerges J.,38,139,1390,428,1.36,3.0,7-6 6-3 ,1,2020,101,962,1.64,0,,0.6666666666666666
Adelaide International,2020-01-14,Outdoor,Hard,1st Round,3,Strycova B.,Pera B.,Pera B.,33,70,1516,863,1.83,1.83,6-7 3-6 ,0,2020,37,653,0.0,0,,0.0
Adelaide International,2020-01-14,Outdoor,Hard,1st Round,3,Vondrousova M.,Maria T.,Vondrousova M.,16,83,2390,729,1.61,2.2,6-3 6-0 ,1,2020,67,1661,0.5900000000000001,0,,0.0
Adelaide International,2020-01-14,Outdoor,Hard,1st Round,3,Stephens S.,Rodionova Ar.,Rodionova Ar.,25,201,1683,294,1.57,2.25,2-6 2-6 ,0,2020,176,1389,0.6799999999999999,0,,0.0
Hobart International,2020-01-14,Outdoor,Hard,1st Round,3,Jabeur O.,Blinkova A.,Jabeur O.,85,58,723,989,2.2,1.61,6-4 6-1 ,1,2020,-27,-266,-0.5900000000000001,0,,-0.5
Hobart International,2020-01-15,Outdoor,Hard,2nd Round,3,Bellis C.,Kudermetova V.,Kudermetova V.,838,42,20,1328,2.5,1.5,6-7 1-6 ,0,2020,-796,-1308,-1.0,0,,-0.5
Hobart International,2020-01-15,Outdoor,Hard,2nd Round,3,Linette M.,Davis L.,Davis L.,43,65,1292,902,1.57,2.25,4-6 4-6 ,0,2020,22,390,0.6799999999999999,0,,-0.16666666666666663
